type,description,priorite,categorie
Demande,Impossible d'ouvrir le projet dans l'IDE,Elevé,Logiciel
Incident,Le serveur de développement est inaccessible,Moyenne,Réseau
Demande,Nouvelle fonctionnalité pour le système de gestion des étudiants,Faible,Logiciel
Incident,Le matériel de développement est défectueux,Elevé,Matériel
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Problème de connexion au réseau,Moyenne,Réseau
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Le matériel de développement est manquant,Moyenne,Matériel
Demande,Amélioration de la sécurité du système,Moyenne,Logiciel
Incident,Erreur de syntaxe dans le code,Faible,Logiciel
Demande,Nouvelle fonctionnalité pour le système de gestion des cours,Faible,Logiciel
Incident,Problème de stockage des données,Moyenne,Réseau
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Le système de gestion des étudiants est inaccessible,Elevé,Logiciel
Demande,Amélioration de l'interface utilisateur,Moyenne,Logiciel
Incident,Le matériel de développement est obsolète,Moyenne,Matériel
Demande,Nouvelle fonctionnalité pour le système de gestion des ressources,Faible,Logiciel
Incident,Erreur de login dans le système,Faible,Logiciel
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Problème de performance du système,Moyenne,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Le système de gestion des étudiants est instable,Elevé,Logiciel
Demande,Nouvelle fonctionnalité pour le système de gestion des événements,Faible,Logiciel
Incident,Le matériel de développement est endommagé,Moyenne,Matériel
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Erreur de données dans le système,Faible,Logiciel
Demande,Amélioration de la sécurité des données,Moyenne,Logiciel
Incident,Problème de synchronisation des données,Moyenne,Réseau
Demande,Nouvelle fonctionnalité pour le système de gestion des tâches,Faible,Logiciel
Incident,Le système de gestion des étudiants est lent,Elevé,Logiciel
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Le matériel de développement est manquant,Moyenne,Matériel
Demande,Amélioration de l'expérience utilisateur,Moyenne,Logiciel
Incident,Erreur de compilation dans le code,Faible,Logiciel
Demande,Nouvelle fonctionnalité pour le système de gestion des projets,Faible,Logiciel
Incident,Problème de stockage des données,Moyenne,Réseau
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Le système de gestion des étudiants est inaccessible,Elevé,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Le matériel de développement est obsolète,Moyenne,Matériel
Demande,Nouvelle fonctionnalité pour le système de gestion des ressources,Faible,Logiciel
Incident,Erreur de login dans le système,Faible,Logiciel
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Le matériel de développement est endommagé,Moyenne,Matériel
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Erreur de données dans le système,Faible,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Problème de synchronisation des données,Moyenne,Réseau
Demande,Nouvelle fonctionnalité pour le système de gestion des tâches,Faible,Logiciel
Incident,Le système de gestion des étudiants est lent,Elevé,Logiciel
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Le matériel de développement est manquant,Moyenne,Matériel
Incident,Problème de stockage des données,Moyenne,Réseau
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Le système de gestion des étudiants est inaccessible,Elevé,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Le matériel de développement est obsolète,Moyenne,Matériel
Demande,Nouvelle fonctionnalité pour le système de gestion des ressources,Faible,Logiciel
Incident,Erreur de login dans le système,Faible,Logiciel
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Le matériel de développement est endommagé,Moyenne,Matériel
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Problème de synchronisation des données,Moyenne,Réseau
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Le matériel de développement est manquant,Moyenne,Matériel
Incident,Problème de stockage des données,Moyenne,Réseau
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Le matériel de développement est obsolète,Moyenne,Matériel
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Le matériel de développement est endommagé,Moyenne,Matériel
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Problème de synchronisation des données,Moyenne,Réseau
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Le matériel de développement est manquant,Moyenne,Matériel
Incident,Problème de stockage des données,Moyenne,Réseau
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Le système de gestion des étudiants est inaccessible,Elevé,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Le matériel de développement est obsolète,Moyenne,Matériel
Demande,Nouvelle fonctionnalité pour le système de gestion des ressources,Faible,Logiciel
Incident,Erreur de login dans le système,Faible,Logiciel
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Le matériel de développement est endommagé,Moyenne,Matériel
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Erreur de données dans le système,Faible,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Problème de synchronisation des données,Moyenne,Réseau
Demande,Nouvelle fonctionnalité pour le système de gestion des tâches,Faible,Logiciel
Incident,Le système de gestion des étudiants est lent,Elevé,Logiciel
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Le matériel de développement est manquant,Moyenne,Matériel
Demande,Amélioration de l'expérience utilisateur,Moyenne,Logiciel
Incident,Erreur de compilation dans le code,Faible,Logiciel
Demande,Nouvelle fonctionnalité pour le système de gestion des projets,Faible,Logiciel
Incident,Problème de stockage des données,Moyenne,Réseau
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Le système de gestion des étudiants est inaccessible,Elevé,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Le matériel de développement est obsolète,Moyenne,Matériel
Demande,Nouvelle fonctionnalité pour le système de gestion des ressources,Faible,Logiciel
Incident,Erreur de login dans le système,Faible,Logiciel
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Le matériel de développement est endommagé,Moyenne,Matériel
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Erreur de données dans le système,Faible,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Problème de synchronisation des données,Moyenne,Réseau
Demande,Nouvelle fonctionnalité pour le système de gestion des tâches,Faible,Logiciel
Incident,Le système de gestion des étudiants est lent,Elevé,Logiciel
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Le matériel de développement est manquant,Moyenne,Matériel
Incident,Problème de stockage des données,Moyenne,Réseau
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Le système de gestion des étudiants est inaccessible,Elevé,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Le matériel de développement est obsolète,Moyenne,Matériel
Demande,Nouvelle fonctionnalité pour le système de gestion des ressources,Faible,Logiciel
Incident,Erreur de login dans le système,Faible,Logiciel
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Le matériel de développement est endommagé,Moyenne,Matériel
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Erreur de données dans le système,Faible,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Problème de synchronisation des données,Moyenne,Réseau
Demande,Nouvelle fonctionnalité pour le système de gestion des tâches,Faible,Logiciel
Incident,Le système de gestion des étudiants est lent,Elevé,Logiciel
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Le matériel de développement est manquant,Moyenne,Matériel
Incident,Problème de stockage des données,Moyenne,Réseau
Demande,Ajout d'un nouveau chapitre dans la documentation,Faible,Documentation
Incident,Le matériel de développement est obsolète,Moyenne,Matériel
Demande,Nouvelle fonctionnalité pour le système de gestion des ressources,Faible,Logiciel
Incident,Erreur de login dans le système,Faible,Logiciel
Demande,Ajout d'un nouveau tutoriel dans la documentation,Faible,Documentation
Incident,Problème de performance du système,Moyenne,Logiciel
Demande,Amélioration de la sécurité des données,Moyenne,Logiciel
Incident,Le système de gestion des étudiants est instable,Elevé,Logiciel
Demande,Nouvelle fonctionnalité pour le système de gestion des événements,Faible,Logiciel
Incident,Le matériel de développement est endommagé,Moyenne,Matériel
Demande,Ajout d'un nouveau module dans la documentation,Faible,Documentation
Incident,Erreur de données dans le système,Faible,Logiciel
Demande,Amélioration de la gestion des erreurs,Moyenne,Logiciel
Incident,Problème de synchronisation des données,Moyenne,Réseau
Demande,Nouvelle fonctionnalité pour le système de gestion des tâches,Faible,Logiciel
Incident,Le système de gestion des étudiants est lent,Elevé,Logiciel
